864, 301
322, 657
263, 829
365, 837
511, 708
491, 551
109, 448
117, 303
11, 205
313, 100
565, 287
1193, 31
-378, -167
459, 123
540, 29
429, -26
179, 82
445, -165
9, -1005
-147, -995
-323, -1293
-224, -1348
264, -1251
-102, -602
1, -538
155, -581
340, -633
274, -465
385, -470
496, -612
547, -815
425, -797
2309, 637
2134, 650
2124, 515
2257, 423
1510, 1330
430, 1104
-611, 723
-1775, -454
-2159, -832
-2410, 10
-2008, -185
-2254, 203
696, -701
-407, 498
-297, 460
-235, 341
-534, 489
139, 927
89, 1061
177, 1185
169, 1087
274, 1259
376, 1273
992, 939
1071, 901
1167, 850
1087, 715
2225, 1245
2254, 1132
2211, 1002
-143, 1348
-265, 1376
-404, 1325
-551, 1346
-681, 1327
-812, 1335
-912, 1291
-770, 855
-910, 817
-860, 739
-1041, 789
-978, 691
-1168, 719
-1081, 652
-1159, 544
-1263, 473
-1312, 351
-1146, 153
-1272, 145
-1444, 141
-1381, 66
-1378, -60
-1496, 12
-1593, 99
-1736, 114
-1860, 133
-1971, 177
588, -120
688, -156
563, -226
39, -699
1, -802
153, -725
205, -822
292, -854
395, -921
-15, -1206
76, -1204
21, -1315
-77, -1338
-1455, -604
-1315, -604
-1168, -662
-1046, -689
-920, -745
-1759, -885
-1852, -974
-1865, -1127
-1759, -1237
-1967, -1145
1474, -840
1429, -975
1424, -1145
1567, -1264
1390, -1273
1516, -1371
1498, -1018
1964, -340
2048, -376
2143, -456
2261, -489
-257, 215
-334, 86
-305, -29
-129, -835
2145, 801
2177.3, -194.47
-1288.2, -1189.28
-1213.4, -1080.68
-1084.2, -1123.78
-537.7, 84.7588
-462.9, 179.57
