-239, -987
-529, -885
-907, -30
-814, 177
703, 360
1230, 465
1224, 742
1413, 749
1597, 519
1861, 671
1189, -53
989, -313
138, 1270
-150, 1367
-932, 145
-956, 139
-973, 179
-884, 196
-855, 88
-828, 67
-889, -47
-884, -230
-867, -268
-317, -1016
-371, -1070
-526, -999
-519, -892
-728, -849
-743, -753
-692, -716
702, -387
540, -218
607, -156
653, -239
574, -63
656, 17
-285, 89
-256, 155
-270, 195
161, 360
100, 398
185, 415
240, 333
294, 341
1251, 2
1146, 33
1197, 53
1227, -82
1195, -154
1095, -28
1000, -78
921, -151
845, -132
859, -34
1260, 171
1127, 298
1204, 374
1299, 407
1260, 493
1311, 546
1403, 500
1464, 367
1467, 484
921, 507
874, 433
785, 489
809, 557
850, 636
891, 705
938, 762
1669, 614
1557, 681
1581, 752
1528, 838
1507, 845
1523, 917
1637, 779
1677, 770
1706, 855
874, 1052
775, 1114
761, 1102
748, 1034
630, 1119
564, 1388
556, 1465
578, 1484
542, 1534
595, 1564
653, 1589
-52, 1243
-62, 1319
3, 1355
54, 1341
83, 1407
148, 1320
282, 867
306, 867
200, 991
139, 1039
-17, 1039
-103, 1050
-415, 384
-381, 415
-342, 434
-289, 465
-237, 496
-874, 581
-951, 696
-889, 715
-860, 677
-738, 746
-792, 839
-758, 869
-735, 803
-1153, 857
-1144, 983
-1149, 1034
-1195, 1100
-1131, 1160
-694, 1543
-872, 1458
-935, 1532
-850, 1505
-662, 1505
-611, 1558
-1209, 390
-1308, 471
-1285, 540
-1197, 471
-1224, 545
-1447, 629
-1430, 605
-1408, 467
-1211, 265
-1381, 303
-1325, 383
-1173, 377
-1134, 490
-1064, 390
